H,S,V,R,G,B,bias,label
76.0,136.0,120.0,38.0,113.0,136.0,1.0,1.0
68.0,128.0,116.0,36.0,122.0,129.0,1.0,1.0
65.0,122.0,103.0,43.0,118.0,122.0,1.0,1.0
79.0,130.0,127.5,32.0,104.0,132.0,1.0,1.0
73.0,131.0,111.0,40.0,114.0,131.0,1.0,1.0
67.0,130.0,113.0,39.0,123.0,130.0,1.0,1.0
76.0,135.0,118.0,39.0,112.0,135.0,1.0,1.0
75.0,133.0,116.0,39.0,111.0,133.0,1.0,1.0
73.0,139.0,117.0,40.0,121.0,139.0,1.0,1.0
85.0,146.0,133.0,37.0,106.0,146.0,1.0,1.0
96.0,149.0,158.0,26.0,99.0,158.0,1.0,1.0
65.0,126.0,100.0,43.0,125.0,126.0,1.0,1.0
79.0,133.0,125.0,34.0,104.0,133.0,1.0,1.0
76.0,138.0,118.0,40.0,115.0,138.0,1.0,1.0
76.0,140.0,115.0,42.0,116.0,140.0,1.0,1.0
78.0,137.0,117.0,40.0,110.0,137.0,1.0,1.0
65.0,121.0,119.0,31.0,119.0,126.0,1.0,1.0
83.0,127.0,143.0,22.0,105.5,143.0,1.0,1.0
53.0,122.0,102.0,39.0,143.0,122.0,1.0,1.0
80.0,117.0,133.0,21.0,102.0,133.0,1.0,1.0
89.0,133.0,137.5,26.0,94.0,140.0,1.0,1.0
54.0,96.0,93.0,32.0,113.0,97.0,1.0,1.0
69.0,127.0,115.0,35.0,115.0,127.0,1.0,1.0
71.0,116.0,118.0,29.0,104.0,119.0,1.0,1.0
76.0,130.0,123.0,34.0,109.0,132.0,1.0,1.0
87.0,136.0,144.0,27.0,103.0,144.0,1.0,1.0
78.0,137.0,117.0,41.0,110.0,137.0,1.0,1.0
65.0,131.0,110.0,39.0,126.0,131.0,1.0,1.0
57.0,112.0,88.0,43.0,125.0,112.0,1.0,1.0
62.0,127.0,98.0,43.0,131.0,127.0,1.0,1.0
95.0,159.0,129.0,44.0,103.0,159.0,1.0,1.0
59.0,129.0,106.0,40.0,136.0,129.0,1.0,1.0
74.0,135.0,116.0,39.0,115.0,135.0,1.0,1.0
67.0,127.0,108.0,39.0,120.0,127.0,1.0,1.0
54.0,108.0,88.0,41.0,129.0,108.0,1.0,1.0
61.5,119.0,102.0,39.0,123.0,119.0,1.0,1.0
68.0,126.0,122.0,33.0,119.0,127.5,1.0,1.0
58.0,116.0,98.0,39.0,126.0,116.0,1.0,1.0
72.0,128.0,123.0,33.0,112.0,128.0,1.0,1.0
86.0,145.0,141.0,33.0,106.0,148.0,1.0,1.0
67.0,121.0,112.0,35.0,114.0,121.0,1.0,1.0
75.0,128.0,124.0,33.0,108.5,129.0,1.0,1.0
68.0,121.0,115.0,34.0,112.0,121.0,1.0,1.0
77.0,129.0,124.0,33.0,105.0,130.0,1.0,1.0
68.0,119.0,113.0,34.0,110.0,119.0,1.0,1.0
60.0,109.0,104.0,32.0,117.0,110.0,1.0,1.0
56.0,106.0,90.0,40.0,120.0,106.0,1.0,1.0
59.0,109.0,102.0,35.0,115.0,109.0,1.0,1.0
56.0,100.0,90.0,36.0,112.0,100.0,1.0,1.0
60.5,112.0,98.0,37.0,117.0,112.0,1.0,1.0
61.0,109.0,99.0,36.0,112.0,109.0,1.0,1.0
62.0,106.0,107.0,30.0,111.0,110.0,1.0,1.0
49.0,90.0,86.0,34.0,115.0,90.0,1.0,1.0
59.0,105.0,98.0,34.0,111.0,105.0,1.0,1.0
53.0,90.0,84.0,34.0,108.0,90.0,1.0,1.0
68.0,124.0,116.0,35.0,116.0,124.0,1.0,1.0
63.0,125.0,113.0,35.0,125.0,125.0,1.0,1.0
61.0,126.0,106.0,40.0,131.0,126.0,1.0,1.0
62.0,129.0,106.0,40.0,131.0,129.0,1.0,1.0
79.0,133.0,131.0,33.0,106.0,137.0,1.0,1.0
85.5,140.5,143.0,30.0,106.0,146.0,1.0,1.0
83.0,128.0,147.0,21.0,109.0,147.0,1.0,1.0
60.0,125.0,96.0,43.0,133.0,125.0,1.0,1.0
74.0,129.0,126.0,31.0,110.0,132.0,1.0,1.0
49.0,96.0,79.0,42.0,124.0,96.0,1.0,1.0
54.0,98.0,89.0,36.0,117.0,98.0,1.0,1.0
48.0,100.0,78.0,43.0,132.0,100.0,1.0,1.0
71.0,133.0,117.0,38.0,120.0,133.0,1.0,1.0
55.0,113.0,92.0,42.0,132.0,113.0,1.0,1.0
57.0,111.0,98.0,37.0,124.0,112.0,1.0,1.0
56.0,112.0,98.0,38.0,128.0,112.0,1.0,1.0
61.0,111.0,103.0,35.0,118.0,113.0,1.0,1.0
61.0,115.0,100.0,40.0,121.0,115.0,1.0,1.0
75.0,124.0,129.0,27.0,109.0,131.0,1.0,1.0
36.0,77.0,56.0,45.0,137.0,77.0,1.0,1.0
67.5,120.0,115.0,34.0,114.0,122.0,1.0,1.0
40.0,86.0,64.0,45.0,135.0,86.0,1.0,1.0
63.0,124.0,107.0,38.0,125.0,124.0,1.0,1.0
63.0,120.0,108.0,37.0,122.0,121.0,1.0,1.0
69.0,123.5,115.0,34.0,115.0,126.0,1.0,1.0
40.0,82.0,62.0,44.0,131.0,82.0,1.0,1.0
51.0,105.0,81.0,43.0,132.0,105.0,1.0,1.0
41.0,90.0,67.0,44.0,139.0,90.0,1.0,1.0
50.0,108.0,80.0,44.0,136.0,108.0,1.0,1.0
74.0,138.0,138.0,32.0,126.0,145.0,1.0,1.0
83.0,147.0,154.0,27.0,123.0,159.0,1.0,1.0
72.0,141.0,129.0,37.0,129.0,146.0,1.0,1.0
63.0,136.0,115.0,40.0,136.0,136.0,1.0,1.0
64.0,140.0,120.0,39.0,140.0,142.0,1.0,1.0
66.0,134.0,126.0,37.0,135.0,140.0,1.0,1.0
62.0,133.5,116.0,38.0,136.0,134.0,1.0,1.0
57.0,119.0,108.0,36.0,134.0,119.0,1.0,1.0
54.0,127.0,119.0,34.0,147.0,127.0,1.0,1.0
58.0,125.0,127.0,29.0,140.0,129.0,1.0,1.0
57.0,131.0,119.0,35.0,145.0,131.0,1.0,1.0
56.0,130.0,113.0,37.0,144.0,130.0,1.0,1.0
54.0,126.0,112.0,36.0,145.0,126.0,1.0,1.0
50.5,118.0,101.0,38.0,146.0,118.0,1.0,1.0
51.0,126.0,106.0,38.0,153.0,126.0,1.0,1.0
45.0,114.0,95.0,39.0,155.0,114.0,1.0,1.0
53.0,111.0,101.0,35.0,134.0,111.0,1.0,1.0
43.0,110.0,97.0,37.0,154.0,110.0,1.0,1.0
46.0,107.0,107.0,30.0,145.0,111.0,1.0,1.0
49.0,111.0,106.0,33.0,142.5,112.0,1.0,1.0
46.0,114.0,106.0,34.0,153.0,115.0,1.0,1.0
56.0,132.0,117.0,37.0,146.0,133.0,1.0,1.0
59.0,128.0,122.0,33.0,139.0,129.0,1.0,1.0
55.0,120.0,121.0,30.0,140.0,122.0,1.0,1.0
54.0,101.0,104.0,29.0,128.0,106.0,1.0,1.0
50.0,103.0,101.0,34.0,139.0,107.0,1.0,1.0
56.0,111.0,106.0,36.0,141.0,119.0,1.0,1.0
47.0,106.0,94.0,36.0,145.0,107.0,1.0,1.0
47.0,99.0,93.0,34.5,135.0,101.0,1.0,1.0
35.0,68.0,66.0,33.0,125.0,68.0,1.0,1.0
51.0,115.0,114.0,30.0,141.0,116.5,1.0,1.0
45.0,107.0,97.0,35.0,147.0,107.0,1.0,1.0
48.0,118.0,99.0,39.0,150.0,119.0,1.0,1.0
47.0,100.0,95.0,35.0,140.0,104.0,1.0,1.0
46.0,108.0,94.0,37.0,146.0,108.0,1.0,1.0
43.0,105.0,102.0,31.0,146.0,106.0,1.0,1.0
50.0,116.0,116.0,30.0,148.0,118.0,1.0,1.0
61.0,117.0,125.0,25.0,133.0,125.0,1.0,1.0
52.0,106.0,98.0,35.0,135.0,107.0,1.0,1.0
55.0,113.0,113.0,30.0,135.0,117.0,1.0,1.0
55.0,117.0,129.0,25.0,146.0,130.0,1.0,1.0
59.0,115.0,110.0,33.0,127.0,116.0,1.0,1.0
56.0,115.0,133.0,23.0,147.0,133.0,1.0,1.0
69.0,142.0,134.0,34.0,137.0,147.0,1.0,1.0
63.0,132.0,120.0,35.0,134.0,132.0,1.0,1.0
55.0,127.0,113.0,35.0,146.0,128.0,1.0,1.0
60.0,121.0,128.0,27.0,136.0,129.0,1.0,1.0
58.0,126.0,115.0,34.5,138.0,126.0,1.0,1.0
54.0,122.0,109.0,36.0,142.0,122.0,1.0,1.0
65.0,125.0,128.0,30.0,129.0,131.0,1.0,1.0
36.0,67.0,60.0,37.0,125.0,67.0,1.0,1.0
54.0,114.0,117.0,29.0,140.0,119.0,1.0,1.0
54.0,115.0,110.0,32.0,139.0,118.0,1.0,1.0
59.0,116.0,113.0,31.0,130.0,118.0,1.0,1.0
46.0,114.0,105.0,34.0,149.0,114.0,1.0,1.0
49.0,115.0,103.0,35.0,146.0,115.0,1.0,1.0
54.0,123.0,114.0,34.0,142.0,123.0,1.0,1.0
59.0,126.0,130.0,28.0,138.0,130.0,1.0,1.0
47.0,102.0,97.0,32.0,142.0,106.0,1.0,1.0
65.0,125.0,125.0,28.0,129.0,132.0,1.0,1.0
83.0,144.0,128.0,38.0,107.0,144.0,1.0,1.0
68.0,135.0,118.0,38.0,127.0,135.0,1.0,1.0
59.0,120.0,112.0,34.0,129.0,120.0,1.0,1.0
67.0,127.0,132.0,27.0,128.0,134.0,1.0,1.0
60.0,126.0,111.0,36.0,133.5,126.0,1.0,1.0
54.0,125.0,105.0,39.0,146.0,125.0,1.0,1.0
67.0,133.0,121.0,35.0,127.0,134.0,1.0,1.0
59.0,119.0,125.0,27.0,134.0,126.0,1.0,1.0
62.0,137.0,118.0,38.0,138.0,137.0,1.0,1.0
61.0,130.0,115.0,36.5,136.0,130.0,1.0,1.0
60.0,130.0,111.0,38.0,137.0,130.0,1.0,1.0
60.0,126.0,122.0,30.0,133.0,128.0,1.0,1.0
61.0,125.0,119.0,33.0,136.0,129.0,1.0,1.0
78.0,156.0,125.0,42.0,128.0,156.0,1.0,1.0
68.0,152.0,116.0,43.0,140.0,152.0,1.0,1.0
72.0,150.0,118.0,42.0,133.0,150.0,1.0,1.0
68.0,141.0,113.0,42.0,131.0,141.0,1.0,1.0
68.0,141.0,115.0,41.0,132.0,141.0,1.0,1.0
69.0,138.0,150.5,26.0,138.0,151.0,1.0,1.0
56.0,131.0,108.0,40.0,145.0,131.0,1.0,1.0
59.0,133.0,104.0,42.0,143.0,133.0,1.0,1.0
51.0,132.0,102.0,41.0,156.0,132.0,1.0,1.0
54.0,131.0,102.0,42.0,148.0,131.0,1.0,1.0
57.0,141.0,113.0,40.0,152.0,141.0,1.0,1.0
58.0,142.0,107.0,42.0,150.0,142.0,1.0,1.0
55.0,135.0,103.0,42.0,151.0,135.0,1.0,1.0
51.0,127.0,103.0,40.0,152.0,127.0,1.0,1.0
61.0,132.0,112.0,39.0,136.5,132.0,1.0,1.0
76.0,155.5,138.0,37.0,132.0,157.0,1.0,1.0
79.0,152.0,127.0,41.0,123.0,152.0,1.0,1.0
72.0,148.0,120.0,41.0,131.0,148.0,1.0,1.0
85.0,159.0,137.0,39.0,120.0,160.0,1.0,1.0
78.0,150.0,119.0,43.0,124.0,150.0,1.0,1.0
76.0,144.0,117.0,42.0,122.0,144.0,1.0,1.0
76.0,147.0,129.0,39.0,123.0,147.0,1.0,1.0
80.0,150.0,121.0,43.0,118.0,150.0,1.0,1.0
57.0,130.0,109.0,39.0,144.0,130.0,1.0,1.0
51.0,129.0,106.0,39.0,153.0,129.0,1.0,1.0
50.0,123.0,96.0,41.0,150.0,123.0,1.0,1.0
53.0,130.0,106.0,39.0,151.0,130.0,1.0,1.0
49.0,123.0,101.0,39.0,153.0,123.0,1.0,1.0
56.0,130.0,111.0,38.0,146.0,130.0,1.0,1.0
48.0,116.0,93.0,41.0,149.0,116.0,1.0,1.0
53.0,128.0,104.5,40.0,150.0,128.0,1.0,1.0
51.0,127.0,103.0,40.0,153.0,127.0,1.0,1.0
50.0,112.0,91.0,40.0,141.0,112.0,1.0,1.0
50.5,110.0,91.0,40.0,137.0,110.0,1.0,1.0
63.0,121.0,118.0,32.0,125.0,123.0,1.0,1.0
71.0,145.0,133.0,35.0,130.0,145.0,1.0,1.0
67.0,144.0,126.0,37.0,136.0,144.0,1.0,1.0
61.0,153.0,128.0,38.0,153.0,153.0,1.0,1.0
62.0,137.0,122.0,36.0,139.0,137.0,1.0,1.0
60.0,136.0,112.0,40.0,143.0,136.0,1.0,1.0
64.0,159.0,116.0,44.0,153.0,159.0,1.0,1.0
61.0,156.0,112.0,44.0,155.0,156.0,1.0,1.0
66.0,161.0,122.0,43.0,151.0,161.0,1.0,1.0
61.0,155.0,115.0,43.0,154.0,155.0,1.0,1.0
65.0,160.0,119.0,43.0,151.0,160.0,1.0,1.0
64.0,165.0,119.0,44.0,156.0,165.0,1.0,1.0
59.0,147.0,122.0,39.0,155.0,147.0,1.0,1.0
55.0,147.0,118.0,40.0,160.0,147.0,1.0,1.0
61.0,151.0,122.0,40.0,153.0,151.0,1.0,1.0
60.0,150.0,129.0,37.0,153.0,150.0,1.0,1.0
59.0,149.0,129.0,37.0,154.0,149.0,1.0,1.0
66.0,148.0,138.0,33.0,142.0,149.0,1.0,1.0
63.0,150.0,134.0,36.0,147.0,150.0,1.0,1.0
62.0,155.0,129.5,38.0,153.0,155.0,1.0,1.0
65.0,139.0,131.0,34.0,137.0,141.0,1.0,1.0
60.0,140.0,122.0,37.0,145.0,140.0,1.0,1.0
62.0,140.0,126.0,36.0,142.0,140.0,1.0,1.0
65.0,142.0,129.0,35.0,139.0,142.0,1.0,1.0
64.0,144.0,125.0,38.0,141.0,144.0,1.0,1.0
64.0,140.0,129.0,35.0,139.0,141.0,1.0,1.0
67.0,138.0,136.0,31.0,136.0,144.0,1.0,1.0
65.0,146.0,122.0,39.0,142.0,146.0,1.0,1.0
59.0,134.0,114.0,38.0,142.0,134.0,1.0,1.0
61.0,140.0,119.0,38.0,146.0,140.0,1.0,1.0
61.0,137.0,114.0,40.0,142.0,137.0,1.0,1.0
58.0,141.0,114.0,40.0,150.0,142.0,1.0,1.0
68.0,155.0,127.0,39.0,143.0,155.0,1.0,1.0
66.0,137.0,130.0,34.0,136.0,141.0,1.0,1.0
65.0,153.0,125.0,40.0,147.0,153.0,1.0,1.0
61.0,137.0,124.0,35.0,143.0,138.0,1.0,1.0
65.0,165.0,131.0,40.0,155.0,165.0,1.0,1.0
51.0,141.0,109.0,41.0,162.0,141.0,1.0,1.0
74.0,161.0,133.0,40.0,138.0,161.0,1.0,1.0
36.0,80.0,66.0,40.0,142.0,80.0,1.0,1.0
103.0,163.0,185.0,21.0,117.0,185.0,1.0,1.0
84.0,154.0,159.0,28.0,122.0,160.0,1.0,1.0
53.0,125.5,104.0,39.0,147.0,125.5,1.0,1.0
48.0,113.0,93.5,39.0,143.0,113.0,1.0,1.0
46.0,110.0,92.0,39.0,148.0,110.0,1.0,1.0
44.0,111.0,91.0,39.0,152.0,111.0,1.0,1.0
54.0,118.0,103.0,38.0,141.0,120.0,1.0,1.0
54.0,125.0,103.0,40.0,147.0,125.0,1.0,1.0
43.0,99.0,83.0,40.0,142.0,99.0,1.0,1.0
50.0,117.0,94.0,40.0,146.0,117.0,1.0,1.0
49.0,114.0,99.0,38.0,145.0,115.0,1.0,1.0
52.0,123.0,102.0,39.0,148.0,123.0,1.0,1.0
45.0,115.0,92.0,40.0,157.0,115.0,1.0,1.0
52.0,120.0,110.0,35.0,148.0,123.0,1.0,1.0
48.0,114.0,96.0,38.0,147.0,114.0,1.0,1.0
55.0,117.0,101.0,39.0,136.0,117.0,1.0,1.0
56.0,130.0,105.0,40.0,144.0,130.0,1.0,1.0
52.0,122.0,99.0,40.0,145.0,122.0,1.0,1.0
54.0,126.0,101.0,41.0,145.0,126.0,1.0,1.0
55.0,123.0,108.0,37.0,142.0,123.0,1.0,1.0
76.0,131.0,148.0,24.0,125.0,149.0,1.0,1.0
85.5,139.0,169.0,19.0,126.0,169.0,1.0,1.0
59.0,128.0,108.0,39.0,137.0,128.0,1.0,1.0
76.0,143.0,136.0,33.0,122.0,146.0,1.0,1.0
67.0,135.0,127.0,34.0,131.0,138.0,1.0,1.0
73.0,143.0,126.0,37.0,124.0,143.0,1.0,1.0
67.0,138.0,117.0,39.0,131.0,138.0,1.0,1.0
63.0,134.0,115.0,39.0,133.0,134.0,1.0,1.0
69.0,141.0,120.0,38.0,129.0,141.0,1.0,1.0
66.0,139.0,119.0,39.0,134.0,140.0,1.0,1.0
68.0,138.0,123.0,37.0,129.0,139.0,1.0,1.0
70.0,145.0,123.0,39.0,132.0,145.0,1.0,1.0
74.0,140.0,141.0,28.0,124.0,144.0,1.0,1.0
79.0,142.0,151.0,26.0,122.0,151.0,1.0,1.0
81.0,145.0,155.0,26.0,122.0,155.0,1.0,1.0
72.0,138.0,135.0,30.0,123.0,139.0,1.0,1.0
59.0,126.0,114.0,35.0,136.0,127.0,1.0,1.0
58.0,128.0,109.0,39.0,138.0,128.0,1.0,1.0
57.5,130.0,113.0,37.0,141.0,130.0,1.0,1.0
65.0,136.0,117.0,39.0,133.0,137.0,1.0,1.0
61.0,128.0,111.0,37.0,133.0,128.0,1.0,1.0
44.0,116.0,101.0,35.0,158.0,116.0,1.0,1.0
41.0,136.0,93.0,44.0,178.0,136.0,1.0,1.0
46.0,126.0,105.0,38.0,159.0,126.0,1.0,1.0
47.0,136.0,108.0,39.0,166.0,136.0,1.0,1.0
47.0,135.0,105.0,40.0,166.0,135.0,1.0,1.0
45.0,122.0,87.0,44.0,161.0,122.0,1.0,1.0
47.0,105.0,85.0,41.0,143.0,105.0,1.0,1.0
41.0,105.0,80.0,44.0,158.0,106.0,1.0,1.0
57.0,120.0,94.0,42.0,133.0,120.0,1.0,1.0
50.0,122.0,102.0,38.0,149.0,122.0,1.0,1.0
50.0,119.0,94.0,41.0,148.0,119.0,1.0,1.0
35.0,74.0,60.0,41.0,135.0,74.0,1.0,1.0
51.0,115.0,92.0,41.0,143.0,115.0,1.0,1.0
57.0,124.0,118.5,33.0,139.0,126.0,1.0,1.0
50.0,120.0,106.0,37.0,149.0,120.0,1.0,1.0
73.0,137.0,144.0,28.0,128.0,145.0,1.0,1.0
59.0,125.0,122.0,30.0,139.0,128.0,1.0,1.0
68.0,140.0,123.0,37.0,131.0,140.0,1.0,1.0
53.0,119.0,117.0,30.0,139.0,121.0,1.0,1.0
63.5,136.0,115.0,39.0,136.0,136.0,1.0,1.0
56.0,120.0,115.0,34.0,137.0,123.0,1.0,1.0
76.5,146.0,122.0,40.0,121.0,146.0,1.0,1.0
57.0,126.0,106.0,39.0,137.0,126.0,1.0,1.0
58.0,130.0,122.0,33.0,140.0,130.0,1.0,1.0
61.0,125.0,131.0,29.0,140.0,135.0,1.0,1.0
64.0,132.0,136.0,28.0,141.0,142.0,1.0,1.0
56.0,119.0,117.0,30.0,138.0,121.0,1.0,1.0
65.0,122.0,131.0,25.0,134.0,132.0,1.0,1.0
61.0,131.0,116.0,37.0,136.0,131.0,1.0,1.0
59.0,121.0,110.0,36.0,129.0,121.0,1.0,1.0
70.0,131.0,129.0,30.0,121.0,133.0,1.0,1.0
60.0,122.0,120.0,31.0,136.0,125.0,1.0,1.0
72.0,139.0,148.0,27.0,135.0,151.0,1.0,1.0
57.0,129.0,110.0,38.0,141.0,130.0,1.0,1.0
48.0,98.0,84.0,39.0,126.0,98.0,1.0,1.0
72.0,137.0,130.0,33.0,122.0,138.0,1.0,1.0
52.0,100.0,86.0,39.0,121.0,100.0,1.0,1.0
64.0,136.0,119.0,38.0,135.0,136.0,1.0,1.0
94.0,152.0,187.0,19.0,127.0,187.0,1.0,1.0
50.0,98.0,83.0,39.0,124.0,98.0,1.0,1.0
60.0,130.0,116.0,36.0,137.0,130.0,1.0,1.0
80.0,136.0,171.0,18.0,136.0,171.0,1.0,1.0
60.0,128.0,108.0,39.0,137.0,128.0,1.0,1.0
62.0,131.0,112.0,39.0,135.5,132.0,1.0,1.0
59.0,133.0,111.0,39.0,142.0,133.0,1.0,1.0
64.0,123.0,116.0,32.0,122.0,124.0,1.0,1.0
49.0,113.0,94.0,40.0,142.0,113.0,1.0,1.0
70.0,138.0,130.0,35.0,129.0,142.0,1.0,1.0
63.0,131.0,120.0,35.0,130.0,131.0,1.0,1.0
68.0,144.0,134.0,34.0,135.0,144.0,1.0,1.0
56.0,141.0,117.0,38.0,154.0,141.0,1.0,1.0
71.0,143.0,138.0,33.0,129.0,143.0,1.0,1.0
57.0,131.0,117.0,36.0,143.0,131.0,1.0,1.0
67.0,141.0,133.0,33.0,135.0,142.0,1.0,1.0
73.0,145.0,142.0,31.0,126.0,145.0,1.0,1.0
63.0,140.0,129.0,34.0,139.0,140.0,1.0,1.0
55.0,131.0,114.0,37.0,146.0,131.0,1.0,1.0
66.0,142.0,134.0,34.0,136.0,142.0,1.0,1.0
67.0,143.0,131.0,35.0,135.0,143.0,1.0,1.0
71.0,145.0,139.0,33.0,129.0,145.0,1.0,1.0
66.0,140.0,132.0,33.0,135.0,141.0,1.0,1.0
58.0,138.0,128.0,34.0,148.0,138.0,1.0,1.0
61.0,135.0,124.0,35.0,140.0,136.0,1.0,1.0
62.5,137.0,125.0,35.0,139.0,137.0,1.0,1.0
57.0,137.0,121.0,36.0,148.0,137.0,1.0,1.0
74.0,138.0,120.0,39.0,118.0,138.0,1.0,1.0
66.0,141.0,126.0,37.0,136.0,141.0,1.0,1.0
66.0,142.0,127.0,36.0,137.0,142.0,1.0,1.0
70.0,137.0,121.0,37.0,125.0,137.0,1.0,1.0
63.0,142.0,123.0,37.0,142.0,142.0,1.0,1.0
72.0,139.0,122.0,38.0,123.0,139.0,1.0,1.0
63.0,138.0,125.0,35.0,138.0,138.0,1.0,1.0
62.0,140.0,115.0,39.0,142.0,140.0,1.0,1.0
55.0,132.0,113.0,37.0,148.0,132.0,1.0,1.0
61.0,132.0,121.0,35.0,136.0,133.0,1.0,1.0
63.0,139.0,117.0,39.0,141.0,139.0,1.0,1.0
59.0,137.0,114.0,39.0,144.0,137.0,1.0,1.0
79.0,156.0,169.0,25.0,136.0,169.0,1.0,1.0
76.0,156.0,162.0,29.0,137.0,163.0,1.0,1.0
75.0,157.0,162.0,28.0,138.0,163.0,1.0,1.0
83.0,157.0,172.0,25.0,132.0,172.0,1.0,1.0
73.0,147.0,155.0,26.0,136.0,156.0,1.0,1.0
70.0,148.0,142.0,32.0,138.0,152.0,1.0,1.0
69.0,138.0,120.0,38.0,128.0,138.0,1.0,1.0
66.0,138.0,119.0,38.0,133.0,138.0,1.0,1.0
61.0,134.0,106.0,42.0,140.0,134.0,1.0,1.0
67.0,136.0,124.0,35.0,130.0,137.0,1.0,1.0
71.0,146.0,134.0,35.0,132.0,147.0,1.0,1.0
59.0,134.0,106.0,41.0,141.0,134.0,1.0,1.0
61.0,125.0,109.0,38.0,131.0,125.0,1.0,1.0
65.0,136.0,111.5,41.0,134.0,136.0,1.0,1.0
62.0,134.0,118.0,37.0,138.0,134.0,1.0,1.0
70.0,134.0,113.0,40.0,123.0,134.0,1.0,1.0
76.0,142.0,137.0,33.0,120.0,144.0,1.0,1.0
60.0,135.0,111.0,39.5,140.0,135.0,1.0,1.0
71.0,140.0,137.0,32.0,129.0,143.0,1.0,1.0
58.0,134.0,106.0,41.0,144.0,134.0,1.0,1.0
57.0,135.0,107.0,41.0,146.0,135.0,1.0,1.0
61.0,145.0,114.0,41.0,148.0,145.0,1.0,1.0
66.0,140.0,124.0,36.0,136.0,140.0,1.0,1.0
60.0,135.0,115.0,38.0,142.0,135.0,1.0,1.0
38.0,84.5,63.0,44.0,145.0,84.5,1.0,1.0
60.0,129.0,120.0,34.0,136.0,130.0,1.0,1.0
53.0,131.0,106.0,40.0,152.0,131.0,1.0,1.0
51.0,126.0,107.0,38.0,153.0,126.0,1.0,1.0
70.0,162.0,135.0,39.0,145.0,162.0,1.0,1.0
62.0,136.0,134.0,30.0,144.0,141.0,1.0,1.0
59.0,139.0,125.5,35.0,147.0,140.0,1.0,1.0
58.0,135.0,127.0,34.0,147.0,137.0,1.0,1.0
73.0,139.0,153.0,25.0,132.0,153.0,1.0,1.0
51.0,137.0,121.0,36.0,160.0,137.0,1.0,1.0
62.0,140.0,134.0,33.0,143.0,141.0,1.0,1.0
51.0,132.0,107.0,39.0,156.0,132.0,1.0,1.0
59.0,135.0,125.5,34.0,144.0,136.0,1.0,1.0
59.0,132.0,119.0,36.0,141.5,133.0,1.0,1.0
56.0,122.0,117.0,32.0,139.0,124.0,1.0,1.0
55.0,141.0,116.0,38.0,155.0,141.0,1.0,1.0
60.0,134.0,124.0,34.0,143.0,137.0,1.0,1.0
55.0,134.0,110.0,39.0,150.0,134.0,1.0,1.0
56.0,137.0,114.0,38.0,150.5,137.0,1.0,1.0
54.0,131.0,105.0,40.0,151.0,131.0,1.0,1.0
70.0,137.0,134.0,31.0,129.0,142.0,1.0,1.0
55.0,135.0,113.0,38.0,150.0,135.0,1.0,1.0
55.0,134.0,105.0,42.0,150.0,134.0,1.0,1.0
53.0,137.0,110.0,40.0,155.0,137.0,1.0,1.0
55.0,138.0,114.0,39.0,153.0,138.0,1.0,1.0
56.0,137.0,119.0,37.0,151.0,137.0,1.0,1.0
66.0,149.0,142.0,33.0,143.0,150.0,1.0,1.0
57.0,142.0,118.0,39.0,152.0,142.0,1.0,1.0
63.0,144.0,139.0,32.0,146.0,147.0,1.0,1.0
58.0,141.0,119.0,38.0,150.0,141.0,1.0,1.0
56.0,115.0,122.0,27.0,138.0,122.0,1.0,1.0
59.0,124.0,116.0,35.0,139.0,128.0,1.0,1.0
62.0,124.0,123.0,30.0,130.0,125.0,1.0,1.0
57.0,115.0,109.0,34.0,133.0,117.0,1.0,1.0
49.0,109.0,92.0,39.0,140.0,109.0,1.0,1.0
54.0,111.0,106.0,32.0,132.0,111.0,1.0,1.0
57.0,133.0,125.5,33.0,145.0,133.0,1.0,1.0
45.0,101.0,85.0,39.0,141.0,101.0,1.0,1.0
52.0,108.0,106.0,32.0,135.0,111.0,1.0,1.0
73.0,140.0,121.0,39.0,122.0,140.0,1.0,2.0
75.0,133.0,117.0,39.0,114.0,133.0,1.0,2.0
77.0,140.0,118.0,40.0,114.0,140.0,1.0,2.0
79.0,145.0,123.0,40.0,116.0,145.0,1.0,2.0
72.5,138.0,117.0,40.0,121.0,138.0,1.0,2.0
81.0,148.0,123.0,41.0,117.0,148.0,1.0,2.0
79.0,144.0,122.0,40.0,116.0,144.0,1.0,2.0
80.0,138.0,119.0,40.0,108.0,138.0,1.0,2.0
81.0,138.0,118.5,40.0,106.0,138.0,1.0,2.0
71.0,133.0,110.0,41.0,119.0,133.0,1.0,2.0
73.0,135.0,110.0,42.0,117.0,135.0,1.0,2.0
74.0,137.0,114.0,41.0,118.0,137.0,1.0,2.0
72.0,133.0,109.0,42.0,117.0,133.0,1.0,2.0
71.0,132.0,111.0,40.0,119.0,132.0,1.0,2.0
71.0,134.0,112.0,41.0,121.0,134.0,1.0,2.0
80.0,138.0,116.0,41.0,107.0,138.0,1.0,2.0
80.0,149.0,127.0,40.0,118.0,149.0,1.0,2.0
76.0,146.0,119.0,41.0,123.0,146.0,1.0,2.0
71.5,144.0,122.0,39.0,130.0,144.0,1.0,2.0
82.0,149.0,127.0,40.0,114.0,149.0,1.0,2.0
77.0,157.0,137.0,38.0,129.0,157.0,1.0,2.0
71.0,140.0,118.0,40.0,125.0,140.0,1.0,2.0
70.0,137.5,110.0,42.0,126.0,137.5,1.0,2.0
79.0,144.0,123.5,40.0,115.0,144.0,1.0,2.0
