H,S,V,R,G,B,bias,label
54.0,138.0,124.0,35.0,155.0,138.0,1.0,1.0
80.0,151.0,153.0,29.0,123.0,154.0,1.0,1.0
59.0,143.0,130.0,35.0,150.0,143.0,1.0,1.0
87.0,152.0,163.0,26.0,118.0,163.0,1.0,1.0
63.0,141.0,133.0,33.0,140.0,141.0,1.0,1.0
52.0,133.0,120.0,35.0,155.0,133.0,1.0,1.0
55.0,141.0,131.0,34.0,155.0,141.0,1.0,1.0
52.0,133.0,120.0,35.0,155.0,133.0,1.0,1.0
52.0,131.0,119.0,35.0,153.0,131.0,1.0,1.0
61.0,138.0,131.0,33.0,142.0,139.0,1.0,1.0
74.0,149.0,147.0,30.0,128.0,151.0,1.0,1.0
66.0,137.0,137.0,30.0,133.0,138.0,1.0,1.0
74.0,144.0,139.0,32.0,125.0,146.0,1.0,1.0
69.0,139.0,128.0,34.0,128.0,139.0,1.0,1.0
65.0,137.0,123.0,36.0,134.0,137.0,1.0,1.0
64.0,135.0,119.0,36.0,135.0,135.0,1.0,1.0
71.0,143.0,131.0,35.0,129.0,143.0,1.0,1.0
57.0,134.0,107.0,41.0,146.0,134.0,1.0,1.0
57.0,133.0,109.0,39.0,145.0,133.0,1.0,1.0
58.0,134.0,101.0,43.0,145.0,134.0,1.0,1.0
52.0,124.0,94.0,42.0,148.0,124.0,1.0,1.0
52.0,123.0,98.0,41.0,147.0,123.0,1.0,1.0
65.0,128.0,110.0,39.0,125.0,128.0,1.0,1.0
60.0,124.0,98.5,42.0,131.0,124.0,1.0,1.0
56.0,116.0,96.0,41.0,132.0,116.0,1.0,1.0
60.0,124.0,102.0,40.0,133.0,124.0,1.0,1.0
81.0,149.0,120.0,43.0,115.0,149.0,1.0,1.0
55.0,122.0,111.0,35.0,141.0,122.0,1.0,1.0
71.0,134.0,155.0,23.0,137.0,156.0,1.0,1.0
77.0,154.0,141.5,35.0,128.0,154.0,1.0,1.0
69.0,150.0,131.0,38.0,138.0,150.0,1.0,1.0
81.0,140.0,149.0,26.0,117.0,150.0,1.0,1.0
73.0,143.0,140.0,32.0,128.0,145.0,1.0,1.0
81.0,140.0,141.0,31.0,116.0,148.0,1.0,1.0
88.0,160.0,164.0,29.0,121.0,166.0,1.0,1.0
85.0,153.0,128.0,41.0,114.0,153.0,1.0,1.0
75.0,148.0,137.0,36.0,127.0,150.0,1.0,1.0
89.0,154.0,164.0,27.0,119.0,165.0,1.0,1.0
78.0,148.0,142.0,33.0,121.0,148.0,1.0,1.0
101.0,160.0,181.0,22.0,112.0,181.0,1.0,1.0
61.0,138.0,114.0,39.0,141.0,138.0,1.0,1.0
75.0,142.0,137.0,33.0,122.0,143.0,1.0,1.0
75.0,151.0,140.0,35.0,130.0,152.0,1.0,1.0
73.0,148.0,137.0,35.0,130.0,149.0,1.0,1.0
76.0,145.0,132.0,36.0,122.0,146.0,1.0,1.0
