contrast,correlation,pro_cluster,sha_cluster,dissimiler,energy,entropy,homogenety,max_prob,bias,label
241695.06703442335,10011974818323.809,3.464900679844459e+29,6.028686475882874e+22,12146.968534648418,42.86686744799888,509.2076123240464,68.26798646925394,0.6597937941551208,1.0,1.0
237555.81880384684,18812241998750.258,8.388769997742855e+29,1.2021772430372965e+23,11855.760648429394,42.099954896843826,523.2466534393275,64.18801429972214,0.6307692527770996,1.0,1.0
223738.3824980259,2315720443953.563,2.8549137453592554e+28,8.735800615476775e+21,11174.246480882168,40.949115869126665,540.5379737627186,61.4429164635421,0.5909091234207153,1.0,1.0
227805.22988972068,36865327524239.02,3.074185993518241e+30,3.2538957249437826e+23,11436.138298779726,41.4810201685661,533.4559811555235,62.839818824501926,0.5898617506027222,1.0,1.0
234134.9532149434,73437440347190.55,6.439817123881782e+31,2.503912011552707e+24,11664.47557502985,41.666719981715744,529.9672112205557,62.70121404130691,0.5882353186607361,1.0,1.0
241734.05487710238,69737620077246.305,2.438771915725642e+31,1.3789471969694083e+24,12055.314158260822,42.45188144804256,517.1980567042623,65.47152962592716,0.6000000238418579,1.0,1.0
238744.44429552555,140560502571198.45,8.820506862186856e+31,3.688218543080382e+24,11965.108906030655,42.45028904079573,517.2781973983757,66.0734544568291,0.6012269854545593,1.0,1.0
232854.9448133409,3231990938331.926,2.4539900264848485e+28,8.192969622037373e+21,11562.32303610444,41.47004497104453,533.0226607077059,62.498399589702316,0.6153846383094788,1.0,1.0
239194.20510578156,108391918433020.83,7.554132500828536e+31,2.9344320384280545e+24,11973.570351719856,42.430577817540936,517.6133367567365,66.13058089429362,0.592783510684967,1.0,1.0
241029.8161854148,87795630909676.97,6.805674965428441e+31,2.518130585580298e+24,12057.978312909603,42.5503908204398,515.4348065323848,66.29637117589401,0.6141732335090637,1.0,1.0
139596.1605013907,1863761253445.6702,2.6522420806381864e+28,8.504602411123364e+21,7012.967781335115,32.39845479997403,583.176991082824,37.60084088643651,0.5393654704093933,1.0,1.0
122160.26078748703,2595564779777.2324,9.118269019180744e+28,2.0598291329631e+22,6231.985783338547,30.996450502185045,574.9740386157855,35.84274425930712,0.5479115843772888,1.0,1.0
114676.25850954652,3432515822540.3535,1.0105098869727417e+30,8.149347887764058e+22,5661.511067807674,28.93523099780306,558.3152792377851,30.229594225278266,0.323749303817749,1.0,1.0
114920.68325357139,24913693569700.555,1.2900041050677044e+31,8.576871188325237e+23,5758.211614981294,29.501067288234076,566.157693481278,32.40922513092359,0.3035159111022949,1.0,1.0
120707.8568277955,22220489671135.867,1.1893223569169471e+31,7.487347812687245e+23,6016.657464444637,29.945580464116347,569.9084568544589,32.35150895262721,0.3307076096534729,1.0,1.0
149006.32632222772,2072946221285.4414,5.250659445263819e+28,1.2150550589265106e+22,7455.64670214057,33.43982935483755,586.7518302909266,40.89527926527298,0.5082694292068481,1.0,1.0
141342.58441108465,330987072400.5488,4.177462565253399e+26,4.394773996960092e+20,7049.284940600395,32.36909752048041,581.3950692902324,37.0470094702004,0.43211257457733154,1.0,1.0
145691.10005775094,10060609086936.328,1.8473596476816736e+30,1.7780089311589406e+23,7273.299884647131,32.88912670682524,585.9428904517937,38.64842994725566,0.41310063004493713,1.0,1.0
153437.72409814596,4971691697187.325,3.970303919225995e+29,5.936895251553677e+22,7707.058692634106,33.97623198368851,587.5203977803752,41.46945813124627,0.4549150764942169,1.0,1.0
137136.3164859116,3867947516508.542,6.136628717679231e+28,1.852354599111479e+22,6929.664549916983,32.4708029306355,584.2525835381169,38.95267041166785,0.3925761282444,1.0,1.0
150650.8996448815,10023725361941.025,3.838030432095019e+29,6.28997807334537e+22,7520.524221509695,33.61855024128429,587.3631145745512,41.949439003621464,0.5486856698989868,1.0,1.0
135902.82915754616,1913971848030.4678,6.640618698249005e+27,3.4839917293538797e+21,6936.262308314443,32.78313998846088,584.3973426041007,41.03986339500373,0.43047866225242615,1.0,1.0
175621.63009160757,373497135012.99066,5.389336880810821e+26,4.7136783532077e+20,8793.430824041367,36.413054943570266,580.034675110727,48.88105836405572,0.49123573303222656,1.0,1.0
198954.36971324682,4229684479774.46,1.109070299379859e+29,2.3000655817700746e+22,9991.536006987095,38.86480724081409,566.3892401055803,55.9834352289472,0.5341917276382446,1.0,1.0
148476.5887541175,1660686352185.1519,1.6681305039600892e+28,5.805784975686881e+21,7487.220991969109,33.82836776188175,585.1223208734859,43.358368825050455,0.4335940182209015,1.0,1.0
162410.82172498107,96992284830.32002,1.648539540628729e+25,3.821742558793184e+19,8647.477939039469,37.38040256126444,572.769406142235,54.91667432343703,0.5395804047584534,1.0,1.0
182083.72389507294,5418259248338.891,5.507784257515695e+28,1.6591585543001727e+22,9266.010944485664,37.71216893403241,575.9129563516076,53.36277895222098,0.5053409934043884,1.0,1.0
183740.78796511889,2293844101450.1167,1.799065041684517e+28,6.918232843421903e+21,9103.491375565529,36.67730222021152,581.586491226881,47.92561270404683,0.553680956363678,1.0,1.0
182400.6138547063,1100183936797.3892,3.7397148686094206e+27,1.9821969741741587e+21,9348.702644884586,37.969246229217845,572.9236571485833,53.83257951856522,0.5147378444671631,1.0,1.0
163909.96931752563,9336754720647.078,1.0037884185033706e+30,1.2030468786132802e+23,8173.632028788328,34.94061392007851,587.5338302409192,44.211088532255424,0.45714282989501953,1.0,1.0
162314.78664013743,109270227443.07025,9.336483330153601e+25,1.2569714673840864e+20,7900.37286657095,33.53706002183184,580.5462406358653,37.442028512980855,0.4412555694580078,1.0,1.0
159919.92714491487,22725098445884.547,2.3118431329651338e+30,2.692858035570977e+23,8013.2818186581135,34.66430532350191,587.7369866508722,43.4806554889856,0.4132780134677887,1.0,1.0
137492.77472652495,776617569409.2407,3.934567824511067e+27,2.164223492943714e+21,6974.896877065301,32.70861035258023,583.0119135084303,39.99843563017956,0.3929203748703003,1.0,1.0
194736.7211367488,94644067764.66714,2.7205663563179873e+25,5.302367637115085e+19,10035.90737092495,39.47067312159897,554.6559167173556,58.58688529068451,0.615135133266449,1.0,1.0
